Resistance ,Current ,Voltage ,Time,timestamp,relative humidity [%RH],temperature [degC]
1557879,3168,256,13:31:16,2023-11-29T13:31:16.846,64.85,21.44
1557866,3169,256,13:31:17,2023-11-29T13:31:17.853,64.85,21.48
1557799,3170,256,13:31:19,2023-11-29T13:31:19.847,65.33,21.44
1557984,3171,256,13:31:20,2023-11-29T13:31:20.842,64.85,21.44
1557944,3173,256,13:31:21,2023-11-29T13:31:21.840,64.85,21.44
1558061,3174,256,13:31:22,2023-11-29T13:31:22.845,65.33,21.44
1557943,3175,256,13:31:23,2023-11-29T13:31:23.839,65.33,21.48
1558231,3176,256,13:31:25,2023-11-29T13:31:24.837,65.33,21.48
1558324,3177,256,13:31:26,2023-11-29T13:31:25.839,65.33,21.44
1558454,3178,256,13:31:27,2023-11-29T13:31:26.837,65.33,21.48
1558441,3180,256,13:31:28,2023-11-29T13:31:27.836,65.33,21.44
1558479,3181,256,13:31:29,2023-11-29T13:31:28.832,64.85,21.48
1558741,3182,256,13:31:31,2023-11-29T13:31:29.834,64.85,21.44
1558782,3183,256,13:31:32,2023-11-29T13:31:30.827,64.85,21.48
1559042,3184,256,13:31:33,2023-11-29T13:31:31.826,64.85,21.48
1559304,3186,256,13:31:34,2023-11-29T13:31:32.821,64.85,21.44
1559369,3187,256,13:31:35,2023-11-29T13:31:33.820,64.85,21.48
1559512,3188,256,13:31:37,2023-11-29T13:31:34.828,64.85,21.44
1559656,3189,256,13:31:38,2023-11-29T13:31:35.816,64.85,21.48
1559866,3190,256,13:31:39,2023-11-29T13:31:36.817,64.85,21.48
1559983,3192,256,13:31:40,2023-11-29T13:31:37.814,64.85,21.44
1560206,3193,256,13:31:41,2023-11-29T13:31:38.821,64.85,21.44
1560348,3194,256,13:31:43,2023-11-29T13:31:39.813,64.37,21.44
1560663,3195,256,13:31:44,2023-11-29T13:31:40.816,64.85,21.44
1560767,3196,256,13:31:45,2023-11-29T13:31:41.808,64.37,21.48
1561069,3198,256,13:31:46,2023-11-29T13:31:42.815,64.37,21.48
1561291,3199,256,13:31:47,2023-11-29T13:31:43.810,64.37,21.44
1561658,3200,256,13:31:49,2023-11-29T13:31:44.812,64.37,21.44
1561842,3201,256,13:31:50,2023-11-29T13:31:45.802,64.37,21.44
1561891,3202,256,13:31:51,2023-11-29T13:31:46.804,63.89,21.48
1562259,3204,256,13:31:52,2023-11-29T13:31:47.797,63.88,21.44
1562480,3205,256,13:31:53,2023-11-29T13:31:48.802,63.88,21.44
1562768,3206,256,13:31:55,2023-11-29T13:31:49.803,63.89,21.48
1562953,3207,256,13:31:56,2023-11-29T13:31:50.803,63.88,21.44
1563279,3208,256,13:31:57,2023-11-29T13:31:51.795,63.89,21.48
1563463,3210,256,13:31:58,2023-11-29T13:31:52.799,63.4,21.44
1563724,3211,256,13:31:59,2023-11-29T13:31:53.793,63.4,21.44
1564182,3212,256,13:32:01,2023-11-29T13:31:54.824,63.4,21.44
1564246,3213,256,13:32:02,2023-11-29T13:31:55.787,63.41,21.48
1564626,3214,256,13:32:03,2023-11-29T13:31:56.789,63.4,21.44
1564782,3216,256,13:32:04,2023-11-29T13:31:57.787,62.93,21.48
1565057,3217,256,13:32:05,2023-11-29T13:31:58.788,62.92,21.44
1565346,3218,256,13:32:07,2023-11-29T13:31:59.788,62.93,21.48
1565804,3219,256,13:32:08,2023-11-29T13:32:00.784,62.92,21.44
1565907,3220,256,13:32:09,2023-11-29T13:32:01.781,62.92,21.44
1566196,3222,256,13:32:10,2023-11-29T13:32:02.779,62.92,21.44
1566443,3223,256,13:32:11,2023-11-29T13:32:03.777,62.44,21.44
1566824,3224,256,13:32:13,2023-11-29T13:32:04.783,62.44,21.44
1567030,3225,256,13:32:14,2023-11-29T13:32:05.775,62.44,21.44
1567334,3226,256,13:32:15,2023-11-29T13:32:06.770,62.44,21.44
1567543,3227,256,13:32:16,2023-11-29T13:32:07.768,62.44,21.44
1567804,3229,256,13:32:17,2023-11-29T13:32:08.774,61.96,21.48
1567987,3230,256,13:32:19,2023-11-29T13:32:09.767,61.96,21.48
1568155,3231,256,13:32:20,2023-11-29T13:32:10.788,61.95,21.44
1568733,3232,256,13:32:21,2023-11-29T13:32:11.770,61.95,21.44
1569020,3233,256,13:32:22,2023-11-29T13:32:12.766,61.95,21.44
1569347,3235,256,13:32:23,2023-11-29T13:32:13.758,61.47,21.44
1569530,3236,256,13:32:25,2023-11-29T13:32:14.760,61.47,21.44
1569947,3237,256,13:32:26,2023-11-29T13:32:15.756,61.47,21.44
1570393,3238,256,13:32:27,2023-11-29T13:32:16.782,61.47,21.44
1570628,3239,256,13:32:28,2023-11-29T13:32:17.752,61.47,21.44
1570943,3241,256,13:32:29,2023-11-29T13:32:18.753,61.47,21.48
1571270,3242,256,13:32:31,2023-11-29T13:32:19.757,60.98,21.44
1571622,3243,256,13:32:32,2023-11-29T13:32:20.753,60.98,21.44
1572042,3244,256,13:32:33,2023-11-29T13:32:21.749,60.98,21.44
1572421,3245,256,13:32:34,2023-11-29T13:32:22.751,60.98,21.44
1572602,3247,256,13:32:35,2023-11-29T13:32:23.742,60.98,21.44
1573008,3248,256,13:32:37,2023-11-29T13:32:24.750,60.5,21.44
1573348,3249,256,13:32:38,2023-11-29T13:32:25.747,60.5,21.44
1573754,3250,256,13:32:39,2023-11-29T13:32:26.738,60.5,21.44
1573937,3251,256,13:32:40,2023-11-29T13:32:27.756,60.5,21.44
1574381,3253,256,13:32:41,2023-11-29T13:32:28.744,60.5,21.44
1574695,3254,256,13:32:43,2023-11-29T13:32:29.736,60.01,21.44
1575061,3255,256,13:32:44,2023-11-29T13:32:30.734,60.01,21.44
1575612,3256,256,13:32:45,2023-11-29T13:32:31.730,60.01,21.44
1575872,3257,256,13:32:46,2023-11-29T13:32:32.737,60.01,21.48
1576212,3259,256,13:32:47,2023-11-29T13:32:33.734,60.01,21.48
1576460,3260,256,13:32:49,2023-11-29T13:32:34.728,59.52,21.44
1576958,3261,256,13:32:50,2023-11-29T13:32:35.732,59.52,21.44
1577311,3262,256,13:32:51,2023-11-29T13:32:36.722,59.53,21.48
1577637,3263,256,13:32:52,2023-11-29T13:32:37.728,59.53,21.48
1578017,3265,256,13:32:53,2023-11-29T13:32:38.718,59.52,21.44
1578423,3266,256,13:32:55,2023-11-29T13:32:39.720,59.03,21.44
1578684,3267,256,13:32:56,2023-11-29T13:32:40.720,59.04,21.48
1579115,3268,256,13:32:57,2023-11-29T13:32:41.713,59.04,21.48
1579561,3269,256,13:32:58,2023-11-29T13:32:42.715,59.03,21.44
1580032,3271,256,13:32:59,2023-11-29T13:32:43.713,58.55,21.48
1580319,3272,256,13:33:01,2023-11-29T13:32:44.709,58.54,21.44
1580594,3273,256,13:33:02,2023-11-29T13:32:45.713,58.55,21.48
1581090,3274,256,13:33:03,2023-11-29T13:32:46.716,58.55,21.48
1581325,3275,256,13:33:04,2023-11-29T13:32:47.713,58.05,21.44
1581599,3277,256,13:33:05,2023-11-29T13:32:48.706,58.06,21.48
1582228,3278,256,13:33:07,2023-11-29T13:32:49.709,58.06,21.48
1582700,3279,256,13:33:08,2023-11-29T13:32:50.702,58.06,21.48
1582828,3280,256,13:33:09,2023-11-29T13:32:51.707,58.05,21.44
1583222,3281,256,13:33:10,2023-11-29T13:32:52.703,58.06,21.48
1583627,3282,256,13:33:11,2023-11-29T13:32:53.700,57.56,21.48
1584112,3284,256,13:33:13,2023-11-29T13:32:54.695,57.56,21.48
1584372,3285,256,13:33:14,2023-11-29T13:32:55.698,57.56,21.44
1584948,3286,256,13:33:15,2023-11-29T13:32:56.698,57.56,21.48
1585145,3287,256,13:33:16,2023-11-29T13:32:57.694,57.07,21.48
1585615,3288,256,13:33:17,2023-11-29T13:32:58.692,57.07,21.48
1585876,3290,256,13:33:19,2023-11-29T13:32:59.691,57.07,21.48
1586348,3291,256,13:33:20,2023-11-29T13:33:00.691,57.07,21.44
1586741,3292,256,13:33:21,2023-11-29T13:33:01.686,57.07,21.48
1587080,3293,256,13:33:22,2023-11-29T13:33:02.684,57.07,21.48
1587393,3294,256,13:33:23,2023-11-29T13:33:03.688,56.58,21.48
1587918,3296,256,13:33:25,2023-11-29T13:33:04.680,56.58,21.48
1588282,3297,256,13:33:26,2023-11-29T13:33:05.682,56.58,21.48
1588701,3298,256,13:33:27,2023-11-29T13:33:06.675,56.58,21.48
1588923,3299,256,13:33:28,2023-11-29T13:33:07.680,56.08,21.48
1589448,3300,256,13:33:29,2023-11-29T13:33:08.680,56.08,21.48
1589629,3302,256,13:33:31,2023-11-29T13:33:09.679,56.08,21.48
1590258,3303,256,13:33:32,2023-11-29T13:33:10.675,56.08,21.48
1590505,3304,256,13:33:33,2023-11-29T13:33:11.676,56.08,21.48
1590871,3305,256,13:33:34,2023-11-29T13:33:12.667,56.08,21.48
1591290,3306,256,13:33:35,2023-11-29T13:33:13.671,55.6,21.52
1591591,3308,256,13:33:37,2023-11-29T13:33:14.668,55.59,21.48
1592155,3309,256,13:33:38,2023-11-29T13:33:15.669,55.59,21.48
1592455,3310,256,13:33:39,2023-11-29T13:33:16.667,55.59,21.48
1592834,3311,256,13:33:40,2023-11-29T13:33:17.662,55.59,21.48
1593174,3312,256,13:33:41,2023-11-29T13:33:18.657,55.09,21.48
1593579,3314,256,13:33:43,2023-11-29T13:33:19.657,55.09,21.48
1594089,3315,256,13:33:44,2023-11-29T13:33:20.662,55.09,21.48
1594430,3316,256,13:33:45,2023-11-29T13:33:21.658,55.09,21.48
1594742,3317,256,13:33:46,2023-11-29T13:33:22.650,55.09,21.48
1595227,3318,256,13:33:48,2023-11-29T13:33:23.650,54.6,21.52
1595554,3320,256,13:33:49,2023-11-29T13:33:24.653,55.09,21.48
1596012,3321,256,13:33:50,2023-11-29T13:33:25.649,54.6,21.48
1596351,3322,256,13:33:51,2023-11-29T13:33:26.646,54.6,21.48
1596770,3323,256,13:33:52,2023-11-29T13:33:27.649,54.6,21.48
1597242,3324,256,13:33:54,2023-11-29T13:33:28.645,54.6,21.48
1597540,3326,256,13:33:55,2023-11-29T13:33:29.649,54.1,21.48
1597921,3327,256,13:33:56,2023-11-29T13:33:30.639,54.1,21.48
1598287,3328,256,13:33:57,2023-11-29T13:33:31.636,54.1,21.48
1598732,3329,256,13:33:58,2023-11-29T13:33:32.634,54.1,21.48
1599151,3330,256,13:33:59,2023-11-29T13:33:33.634,54.1,21.48
1599504,3331,256,13:34:01,2023-11-29T13:33:34.640,54.1,21.48
1600028,3333,256,13:34:02,2023-11-29T13:33:35.648,54.1,21.48
1600261,3334,256,13:34:03,2023-11-29T13:33:36.632,53.6,21.48
1600602,3335,256,13:34:04,2023-11-29T13:33:37.629,53.6,21.44
1601046,3336,256,13:34:06,2023-11-29T13:33:38.625,53.6,21.44
1601505,3337,256,13:34:07,2023-11-29T13:33:39.630,53.6,21.48
1601870,3339,256,13:34:08,2023-11-29T13:33:40.625,53.6,21.44
1602275,3340,256,13:34:09,2023-11-29T13:33:41.630,53.6,21.48
1602575,3341,256,13:34:10,2023-11-29T13:33:42.626,53.1,21.48
1602956,3342,256,13:34:11,2023-11-29T13:33:43.622,53.1,21.48
1603308,3343,256,13:34:13,2023-11-29T13:33:44.621,53.1,21.44
1603924,3345,256,13:34:14,2023-11-29T13:33:45.642,53.1,21.48
1604225,3346,256,13:34:15,2023-11-29T13:33:46.612,53.1,21.48
1604721,3347,256,13:34:16,2023-11-29T13:33:47.611,53.1,21.44
1605021,3348,256,13:34:18,2023-11-29T13:33:48.618,53.1,21.48
1605545,3349,256,13:34:19,2023-11-29T13:33:49.608,52.6,21.48
1605700,3351,256,13:34:20,2023-11-29T13:33:50.613,52.6,21.48
1606370,3352,256,13:34:21,2023-11-29T13:33:51.617,52.6,21.44
1606656,3353,256,13:34:22,2023-11-29T13:33:52.606,52.6,21.48
1607023,3354,256,13:34:24,2023-11-29T13:33:53.606,52.6,21.48
1607376,3355,256,13:34:25,2023-11-29T13:33:54.609,52.1,21.48
1607769,3357,256,13:34:26,2023-11-29T13:33:55.607,52.1,21.48
1608068,3358,256,13:34:27,2023-11-29T13:33:56.599,52.1,21.48
1608580,3359,256,13:34:28,2023-11-29T13:33:57.613,52.1,21.48
1608893,3360,256,13:34:30,2023-11-29T13:33:58.593,52.1,21.48
1609310,3361,256,13:34:31,2023-11-29T13:33:59.594,52.1,21.48
1609598,3363,256,13:34:32,2023-11-29T13:34:00.590,52.1,21.48
1609899,3364,256,13:34:33,2023-11-29T13:34:01.594,52.1,21.48
1610475,3365,256,13:34:34,2023-11-29T13:34:02.597,52.1,21.44
1610816,3366,256,13:34:36,2023-11-29T13:34:03.610,51.6,21.48
1611299,3367,256,13:34:37,2023-11-29T13:34:04.584,51.6,21.44
1611679,3369,256,13:34:38,2023-11-29T13:34:05.599,51.6,21.44
1611939,3370,256,13:34:39,2023-11-29T13:34:06.582,51.6,21.48
1612438,3371,256,13:34:40,2023-11-29T13:34:07.587,51.6,21.48
1612803,3372,256,13:34:42,2023-11-29T13:34:08.578,51.6,21.44
1613248,3373,256,13:34:43,2023-11-29T13:34:09.577,51.09,21.44
1613679,3375,256,13:34:44,2023-11-29T13:34:10.580,51.09,21.44
1614071,3376,256,13:34:45,2023-11-29T13:34:11.583,51.09,21.44
1614503,3377,256,13:34:46,2023-11-29T13:34:12.573,51.09,21.44
1614934,3378,256,13:34:48,2023-11-29T13:34:13.578,51.09,21.44
1615129,3379,256,13:34:49,2023-11-29T13:34:14.571,51.1,21.48
1615707,3381,256,13:34:50,2023-11-29T13:34:15.575,51.09,21.44
1615811,3382,256,13:34:51,2023-11-29T13:34:16.567,51.09,21.44
1616267,3383,256,13:34:52,2023-11-29T13:34:17.565,51.09,21.44
1616780,3384,256,13:34:54,2023-11-29T13:34:18.567,50.59,21.44
1617104,3385,256,13:34:55,2023-11-29T13:34:19.566,50.59,21.44
1617563,3387,256,13:34:56,2023-11-29T13:34:20.564,50.59,21.44
1617837,3388,256,13:34:57,2023-11-29T13:34:21.566,50.59,21.44
1618256,3389,256,13:34:58,2023-11-29T13:34:22.559,50.59,21.44
1618741,3390,256,13:35:00,2023-11-29T13:34:23.558,50.09,21.44
1619106,3391,256,13:35:01,2023-11-29T13:34:24.556,50.09,21.44
1619406,3392,256,13:35:02,2023-11-29T13:34:25.556,50.09,21.44
1619851,3394,256,13:35:03,2023-11-29T13:34:26.552,50.09,21.44
1620283,3395,256,13:35:04,2023-11-29T13:34:27.549,50.09,21.44
1620847,3396,256,13:35:06,2023-11-29T13:34:28.550,50.09,21.44
1621120,3397,256,13:35:07,2023-11-29T13:34:29.552,50.09,21.44
1621341,3398,256,13:35:08,2023-11-29T13:34:30.553,50.09,21.44
1621917,3400,256,13:35:09,2023-11-29T13:34:31.551,50.09,21.44
1622246,3401,256,13:35:10,2023-11-29T13:34:32.548,50.09,21.44
1622532,3402,256,13:35:12,2023-11-29T13:34:33.540,50.09,21.44
1622950,3403,256,13:35:13,2023-11-29T13:34:34.544,49.58,21.44
1623448,3404,256,13:35:14,2023-11-29T13:34:35.538,49.58,21.44
1623841,3406,256,13:35:15,2023-11-29T13:34:36.548,49.58,21.44
1624089,3407,256,13:35:16,2023-11-29T13:34:37.534,49.58,21.44
1624389,3408,256,13:35:18,2023-11-29T13:34:38.541,49.58,21.44
1625097,3409,256,13:35:19,2023-11-29T13:34:39.530,49.58,21.44
1625515,3410,256,13:35:20,2023-11-29T13:34:40.532,49.08,21.44
1625736,3412,256,13:35:21,2023-11-29T13:34:41.527,49.08,21.44
1626049,3413,256,13:35:22,2023-11-29T13:34:42.526,49.08,21.44
1626613,3414,256,13:35:24,2023-11-29T13:34:43.528,49.08,21.44
1627215,3415,256,13:35:25,2023-11-29T13:34:44.530,49.08,21.44
1627621,3416,256,13:35:26,2023-11-29T13:34:45.526,49.08,21.44
1628013,3418,256,13:35:27,2023-11-29T13:34:46.519,49.08,21.44
1628222,3419,256,13:35:28,2023-11-29T13:34:47.523,49.08,21.44
1628757,3420,256,13:35:30,2023-11-29T13:34:48.522,49.08,21.44
1629269,3421,256,13:35:31,2023-11-29T13:34:49.515,49.08,21.44
1629660,3422,256,13:35:32,2023-11-29T13:34:50.521,49.08,21.44
1630066,3424,256,13:35:33,2023-11-29T13:34:51.517,48.57,21.44
1630484,3425,256,13:35:34,2023-11-29T13:34:52.511,48.57,21.44
1631151,3426,256,13:35:35,2023-11-29T13:34:53.516,48.57,21.44
1631425,3427,256,13:35:37,2023-11-29T13:34:54.516,48.57,21.44
1631790,3428,256,13:35:38,2023-11-29T13:34:55.505,48.57,21.44
1632248,3429,256,13:35:39,2023-11-29T13:34:56.512,48.57,21.44
1632811,3431,256,13:35:40,2023-11-29T13:34:57.510,48.57,21.44
1633309,3432,256,13:35:41,2023-11-29T13:34:58.502,48.06,21.44
1633792,3433,256,13:35:43,2023-11-29T13:34:59.507,48.06,21.44
1634131,3434,256,13:35:44,2023-11-29T13:35:00.505,48.06,21.44
1634615,3435,256,13:35:45,2023-11-29T13:35:01.502,48.06,21.44
1635323,3437,256,13:35:46,2023-11-29T13:35:02.502,48.06,21.44
1635702,3438,256,13:35:47,2023-11-29T13:35:03.498,48.06,21.44
1636068,3439,256,13:35:49,2023-11-29T13:35:04.495,48.06,21.44
1636512,3440,256,13:35:50,2023-11-29T13:35:05.490,48.06,21.44
1637140,3441,256,13:35:51,2023-11-29T13:35:06.496,48.06,21.44
1637467,3443,256,13:35:52,2023-11-29T13:35:07.491,48.06,21.44
1637873,3444,256,13:35:53,2023-11-29T13:35:08.492,48.06,21.44
1638408,3445,256,13:35:55,2023-11-29T13:35:09.483,47.56,21.44
1638984,3446,256,13:35:56,2023-11-29T13:35:10.484,47.56,21.44
