time, itow, lat, lon, alt, speed, accuracy
0.035, 539972760, 38.6494634, -90.3061196, 144.1522220, 0.054, 6.200
0.135, 539972860, 38.6494633, -90.3061192, 144.1511064, 0.051, 6.185
0.235, 539972960, 38.6494633, -90.3061190, 144.1738783, 0.028, 6.160
0.335, 539973060, 38.6494633, -90.3061185, 144.1729047, 0.037, 6.135
0.435, 539973160, 38.6494634, -90.3061186, 144.1580920, 0.065, 6.110
0.535, 539973260, 38.6494631, -90.3061184, 144.1477047, 0.031, 6.095
0.635, 539973360, 38.6494632, -90.3061181, 144.1532437, 0.051, 6.080
0.735, 539973460, 38.6494629, -90.3061177, 144.1269348, 0.010, 6.059
0.835, 539973560, 38.6494629, -90.3061174, 144.1498762, 0.022, 6.040
0.935, 539973660, 38.6494629, -90.3061174, 144.1834595, 0.047, 6.024
1.035, 539973760, 38.6494627, -90.3061175, 144.1671015, 0.054, 6.010
1.135, 539973860, 38.6494626, -90.3061173, 144.1807059, 0.062, 5.995
1.235, 539973960, 38.6494622, -90.3061171, 144.1872465, 0.032, 5.980
1.335, 539974060, 38.6494624, -90.3061172, 144.1759710, 0.066, 5.971
1.435, 539974160, 38.6494619, -90.3061166, 144.1761527, 0.037, 5.960
1.535, 539974260, 38.6494620, -90.3061158, 144.2096210, 0.009, 5.946
1.635, 539974360, 38.6494618, -90.3061166, 144.1777168, 0.022, 5.930
1.735, 539974460, 38.6494617, -90.3061165, 144.2159335, 0.037, 5.921
1.835, 539974560, 38.6494613, -90.3061160, 144.2337403, 0.022, 5.910
1.935, 539974660, 38.6494607, -90.3061160, 144.2321319, 0.020, 5.899
2.035, 539974762, 38.6494608, -90.3061164, 144.2547901, 0.047, 5.889
2.135, 539974862, 38.6494601, -90.3061159, 144.2561569, 0.013, 5.881
2.235, 539974962, 38.6494600, -90.3061158, 144.2860679, 0.010, 5.870
2.335, 539975062, 38.6494602, -90.3061163, 144.3109129, 0.044, 5.859
2.435, 539975162, 38.6494599, -90.3061159, 144.3005469, 0.010, 5.850
2.535, 539975262, 38.6494600, -90.3061156, 144.3245892, 0.063, 5.840
2.635, 539975362, 38.6494595, -90.3061153, 144.3107591, 0.041, 5.830
2.735, 539975462, 38.6494597, -90.3061157, 144.3046467, 0.035, 5.826
2.835, 539975562, 38.6494597, -90.3061160, 144.3253971, 0.032, 5.810
2.935, 539975662, 38.6494591, -90.3061153, 144.3530839, 0.032, 5.803
3.035, 539975760, 38.6494590, -90.3061145, 144.3894142, 0.073, 5.800
3.135, 539975860, 38.6494586, -90.3061148, 144.3626076, 0.056, 5.789
3.235, 539975960, 38.6494589, -90.3061157, 144.3913956, 0.042, 5.780
3.335, 539976060, 38.6494583, -90.3061147, 144.4254303, 0.049, 5.781
3.435, 539976160, 38.6494580, -90.3061150, 144.4302049, 0.037, 5.770
3.535, 539976260, 38.6494580, -90.3061152, 144.4603617, 0.028, 5.766
3.635, 539976360, 38.6494577, -90.3061152, 144.4771466, 0.020, 5.760
3.735, 539976460, 38.6494569, -90.3061141, 144.4902460, 0.088, 5.754
3.835, 539976560, 38.6494573, -90.3061152, 144.5099496, 0.041, 5.750
3.935, 539976660, 38.6494571, -90.3061154, 144.5248783, 0.024, 5.750
4.035, 539976760, 38.6494561, -90.3061141, 144.5455165, 0.083, 5.740
4.135, 539976860, 38.6494562, -90.3061138, 144.5869719, 0.107, 5.740
4.235, 539976960, 38.6494557, -90.3061144, 144.5440469, 0.091, 5.740
4.335, 539977060, 38.6494555, -90.3061141, 144.6058503, 0.040, 5.730
4.435, 539977160, 38.6494554, -90.3061148, 144.6191825, 0.010, 5.730
4.535, 539977260, 38.6494550, -90.3061143, 144.6316963, 0.052, 5.720
4.635, 539977360, 38.6494546, -90.3061140, 144.6501404, 0.073, 5.720
4.735, 539977460, 38.6494540, -90.3061138, 144.6670415, 0.083, 5.720
4.835, 539977560, 38.6494540, -90.3061146, 144.6644154, 0.020, 5.710
4.935, 539977660, 38.6494540, -90.3061150, 144.6776561, 0.030, 5.710
5.035, 539977760, 38.6494533, -90.3061142, 144.7017857, 0.062, 5.710
5.135, 539977860, 38.6494533, -90.3061143, 144.7205421, 0.026, 5.699
5.235, 539977960, 38.6494532, -90.3061147, 144.7456825, 0.014, 5.700
5.335, 539978060, 38.6494526, -90.3061136, 144.7747802, 0.054, 5.700
5.435, 539978160, 38.6494525, -90.3061139, 144.7469657, 0.061, 5.700
5.535, 539978260, 38.6494524, -90.3061139, 144.7694172, 0.020, 5.690
5.635, 539978360, 38.6494521, -90.3061139, 144.7875784, 0.051, 5.690
5.735, 539978460, 38.6494522, -90.3061138, 144.8145001, 0.038, 5.690
5.835, 539978560, 38.6494522, -90.3061146, 144.8143751, 0.042, 5.690
5.935, 539978660, 38.6494518, -90.3061140, 144.7893670, 0.019, 5.690
6.035, 539978761, 38.6494513, -90.3061132, 144.8100684, 0.040, 5.680
6.135, 539978861, 38.6494515, -90.3061134, 144.8422550, 0.029, 5.680
6.235, 539978961, 38.6494514, -90.3061132, 144.8671767, 0.032, 5.680
6.335, 539979061, 38.6494512, -90.3061137, 144.8870868, 0.046, 5.680
6.435, 539979161, 38.6494510, -90.3061133, 144.8711320, 0.014, 5.680
6.535, 539979261, 38.6494510, -90.3061134, 144.8740846, 0.070, 5.680
6.635, 539979361, 38.6494507, -90.3061138, 144.8469882, 0.031, 5.680
6.735, 539979461, 38.6494504, -90.3061131, 144.8789022, 0.027, 5.669
6.835, 539979561, 38.6494507, -90.3061130, 144.9460521, 0.052, 5.670
6.935, 539979661, 38.6494508, -90.3061132, 144.9346754, 0.107, 5.670
7.035, 539979761, 38.6494507, -90.3061129, 144.9684754, 0.098, 5.670
7.135, 539979861, 38.6494506, -90.3061127, 144.9642814, 0.089, 5.670
7.235, 539979961, 38.6494501, -90.3061125, 144.9470320, 0.040, 5.670
7.335, 539980061, 38.6494501, -90.3061122, 144.9936723, 0.044, 5.670
7.435, 539980161, 38.6494500, -90.3061121, 145.0394913, 0.031, 5.670
7.535, 539980261, 38.6494498, -90.3061125, 144.9766767, 0.019, 5.670
7.635, 539980361, 38.6494497, -90.3061125, 144.9962564, 0.030, 5.670
7.735, 539980461, 38.6494495, -90.3061119, 145.0029978, 0.030, 5.670
7.835, 539980561, 38.6494493, -90.3061118, 145.0274264, 0.022, 5.670
7.935, 539980661, 38.6494493, -90.3061124, 145.0203710, 0.040, 5.670
8.035, 539980761, 38.6494490, -90.3061117, 145.0238601, 0.020, 5.670
8.135, 539980861, 38.6494488, -90.3061114, 145.0469184, 0.051, 5.670
8.235, 539980961, 38.6494486, -90.3061110, 145.0506710, 0.029, 5.670
8.335, 539981061, 38.6494484, -90.3061108, 145.0787356, 0.023, 5.670
8.435, 539981161, 38.6494487, -90.3061114, 145.0846076, 0.050, 5.680
8.535, 539981261, 38.6494483, -90.3061114, 145.0392651, 0.024, 5.680
8.635, 539981361, 38.6494480, -90.3061106, 145.0511402, 0.029, 5.680
8.735, 539981461, 38.6494477, -90.3061102, 145.1139489, 0.039, 5.680
8.835, 539981561, 38.6494477, -90.3061101, 145.1247878, 0.022, 5.680
8.935, 539981661, 38.6494477, -90.3061103, 145.0896529, 0.047, 5.680
9.035, 539981760, 38.6494478, -90.3061105, 145.1097280, 0.052, 5.680
9.135, 539981860, 38.6494474, -90.3061101, 145.1005947, 0.027, 5.680
9.235, 539981960, 38.6494474, -90.3061106, 145.1082167, 0.042, 5.680
9.335, 539982060, 38.6494471, -90.3061098, 145.1204032, 0.030, 5.679
9.435, 539982160, 38.6494470, -90.3061098, 145.0845067, 0.050, 5.690
9.535, 539982260, 38.6494469, -90.3061098, 145.1038079, 0.026, 5.690
9.635, 539982360, 38.6494468, -90.3061094, 145.1499346, 0.017, 5.690
9.735, 539982460, 38.6494468, -90.3061098, 145.1354455, 0.027, 5.690
9.835, 539982560, 38.6494466, -90.3061096, 145.1453367, 0.024, 5.690
9.935, 539982660, 38.6494465, -90.3061095, 145.1304723, 0.022, 5.694
10.035, 539982760, 38.6494466, -90.3061090, 145.1529378, 0.068, 5.700
10.135, 539982860, 38.6494460, -90.3061083, 145.1630497, 0.077, 5.700
10.235, 539982960, 38.6494462, -90.3061088, 145.1934670, 0.028, 5.700
10.335, 539983060, 38.6494460, -90.3061085, 145.1859468, 0.024, 5.700
10.435, 539983160, 38.6494461, -90.3061087, 145.1871798, 0.042, 5.710
10.535, 539983260, 38.6494460, -90.3061086, 145.1840375, 0.023, 5.709
10.635, 539983360, 38.6494456, -90.3061081, 145.2353936, 0.057, 5.720
10.735, 539983460, 38.6494459, -90.3061080, 145.2226531, 0.047, 5.731
10.835, 539983560, 38.6494456, -90.3061079, 145.2431198, 0.032, 5.730
10.935, 539983659, 38.6494456, -90.3061080, 145.2172570, 0.040, 5.739
11.035, 539983761, 38.6494456, -90.3061077, 145.2444839, 0.028, 5.750
11.135, 539983861, 38.6494456, -90.3061072, 145.3137021, 0.034, 5.761
11.235, 539983961, 38.6494455, -90.3061075, 145.2891056, 0.031, 5.770
11.335, 539984061, 38.6494455, -90.3061073, 145.2800575, 0.035, 5.780
11.435, 539984161, 38.6494455, -90.3061074, 145.2871000, 0.036, 5.790
11.535, 539984261, 38.6494453, -90.3061072, 145.2889624, 0.029, 5.801
11.635, 539984361, 38.6494453, -90.3061066, 145.3602750, 0.039, 5.810
11.735, 539984461, 38.6494453, -90.3061065, 145.3484340, 0.053, 5.819
11.835, 539984561, 38.6494451, -90.3061066, 145.3270616, 0.043, 5.830
11.935, 539984661, 38.6494450, -90.3061065, 145.3208531, 0.032, 5.844
12.035, 539984760, 38.6494453, -90.3061058, 145.3954234, 0.050, 5.860
12.135, 539984860, 38.6494448, -90.3061059, 145.3295074, 0.038, 5.876
12.235, 539984960, 38.6494449, -90.3061056, 145.3578668, 0.030, 5.890
12.335, 539985060, 38.6494448, -90.3061053, 145.3872416, 0.026, 5.901
12.435, 539985160, 38.6494447, -90.3061052, 145.3811707, 0.046, 5.910
12.535, 539985260, 38.6494448, -90.3061051, 145.3883507, 0.041, 5.929
12.635, 539985360, 38.6494446, -90.3061053, 145.3468564, 0.028, 5.940
12.735, 539985460, 38.6494447, -90.3061049, 145.4066236, 0.042, 5.961
12.835, 539985560, 38.6494446, -90.3061046, 145.4106367, 0.030, 5.980
12.935, 539985660, 38.6494444, -90.3061040, 145.4453436, 0.048, 5.989
13.035, 539985760, 38.6494446, -90.3061041, 145.4385386, 0.057, 6.010
13.135, 539985860, 38.6494444, -90.3061043, 145.3710922, 0.057, 6.025
13.235, 539985960, 38.6494444, -90.3061036, 145.4415001, 0.046, 6.040
13.335, 539986060, 38.6494445, -90.3061032, 145.4995469, 0.034, 6.055
13.435, 539986160, 38.6494440, -90.3061038, 145.4041103, 0.080, 6.080
